Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  10:04:41 0.56  0.10  69.34  2.13  8.28 -3.94  0  0  0  0 
23-Nov-2007  10:04:48 0.87  0.07  71.07  1.15  7.81 -3.89  0  0  0  0 
23-Nov-2007  10:04:54 2.01  0.07  66.69  3.01  6.99 -2.84  0  0  0  0 
23-Nov-2007  10:04:55 1.06  0.05  70.39  0.21  6.32  1.41  0  0  0  0 
23-Nov-2007  10:04:59 0.78  0.11  72.87  0.95  6.16 -3.29  0  0  0  0 
23-Nov-2007  10:05:00 0.99  0.10  70.11  2.48  7.42 -3.33  0  0  0  0 
23-Nov-2007  10:05:12 0.98  0.05  74.31  1.51  13.56 -10.30  0  1  1  1 
23-Nov-2007  10:05:17 0.65  0.10  72.82  2.10  10.50 -6.63  0  0  0  0 
23-Nov-2007  10:05:32 1.84  0.14  71.27  1.74  6.46 -3.30  0  1  0  0 
23-Nov-2007  10:05:36 1.46  0.05  70.22  0.20  7.69  2.28  0  0  0  0 
23-Nov-2007  10:05:40 0.91  0.06  73.24  1.23  13.37 -9.44  0  0  0  0 
23-Nov-2007  10:05:45 0.57  0.07  71.52  1.50  10.45 -6.84  0  0  0  0 
23-Nov-2007  10:05:49 0.56  0.04  74.42  0.96  4.75 -2.18  0  0  0  0 
23-Nov-2007  10:05:53 2.77  0.14  70.57  2.79  9.03 -4.85  0  0  0  0 
23-Nov-2007  10:06:00 0.97  0.07  74.14  0.77  13.27  5.67  0  0  0  0 
23-Nov-2007  10:06:02 0.80  0.26  69.48 -3.09  6.67  1.65  0  0  0  0 
23-Nov-2007  10:06:11 0.80  0.18  68.84  1.07  10.82 -6.41  0  1  0  1 
23-Nov-2007  10:06:11 0.64  0.08  69.46  1.50  8.62 -4.06  0  0  0  0 
23-Nov-2007  10:06:18 2.19  0.15  71.74  0.83  7.52  2.29  0  0  0  0 
23-Nov-2007  10:06:19 0.71  0.14  70.02  1.19  8.55 -3.88  0  0  0  0 
23-Nov-2007  10:06:19 1.28  0.15  75.41  1.55  3.69 -1.65  0  1  0  0 
23-Nov-2007  10:06:23 0.98  0.13  68.28  2.26  5.88 -2.21  0  0  0  0 
23-Nov-2007  10:06:25 1.37  0.17  70.14  1.69  7.80 -3.88  0  0  0  0 
23-Nov-2007  10:06:39 1.06  0.28  58.29  2.53  7.93 -2.89  0  0  0  0 
23-Nov-2007  10:06:39 1.26  0.08  68.46  0.55  6.19  1.45  0  0  0  0 
23-Nov-2007  10:06:41 0.44  0.07  72.58  1.00  6.47 -3.27  0  0  0  0 
23-Nov-2007  10:06:49 1.23  0.08  70.74  0.97  7.75 -3.95  0  0  0  0 
23-Nov-2007  10:06:49 0.58  0.10  72.70  2.61  8.37 -4.96  0  0  0  0 
23-Nov-2007  10:06:52 0.71  0.08  73.51  0.55  9.72  3.89  0  0  0  0 
23-Nov-2007  10:06:52 0.68  0.07  71.61  1.18  7.52 -3.94  0  0  0  0 
23-Nov-2007  10:06:54 0.51  0.10  70.44  0.91  8.77 -4.92  0  0  0  0 
23-Nov-2007  10:06:57 0.99  0.09  72.73  0.89  14.23 -9.63  0  0  0  0 
23-Nov-2007  10:07:01 0.43  0.05  74.12  1.35  7.75 -4.99  0  0  0  0 
23-Nov-2007  10:07:02 0.52  0.17  74.77 -0.04  8.67  3.80  0  0  0  0 
23-Nov-2007  10:07:03 0.79  0.07  71.60  1.29  10.92 -6.75  0  0  0  0 
23-Nov-2007  10:07:07 0.54  0.10  69.95  1.81  8.35 -3.80  0  0  0  0 
23-Nov-2007  10:07:28 0.44  0.10  73.98  1.35  7.48 -4.87  0  0  0  0 
23-Nov-2007  10:07:34 0.60  0.12  70.92  1.57  30.62 -19.90  0  0  0  0 
23-Nov-2007  10:07:44 2.03  0.16  68.81  1.00  6.27 -2.47  0  0  0  0 
23-Nov-2007  10:07:50 0.92  0.15  71.35  1.87  6.99 -3.29  0  0  0  0 
23-Nov-2007  10:07:52 1.92  0.13  73.54  0.62  6.53  1.93  0  0  1  1 
23-Nov-2007  10:07:52 1.09  0.13  74.33  1.34  6.83 -3.95  0  0  1  1 
23-Nov-2007  10:07:53 1.80  0.24  73.85  1.78  6.81 -3.93  0  1  1  1 
23-Nov-2007  10:07:54 3.02  0.16  67.39  0.75  12.45  3.81  0  0  0  0 
23-Nov-2007  10:08:04 0.54  0.12  69.49  2.12  5.90 -2.24  0  0  0  0 
23-Nov-2007  10:08:07 0.63  0.05  74.06  1.65  5.89 -3.38  0  0  0  0 
23-Nov-2007  10:08:08 1.51  0.13  67.95  0.38  6.63  1.66  0  0  0  0 
23-Nov-2007  10:08:09 1.20  0.08  71.95  0.59  6.73  2.31  0  0  0  0 
23-Nov-2007  10:08:10 1.05  0.13  72.60  0.88  8.15 -4.99  0  0  0  0 
23-Nov-2007  10:08:11 2.02  0.08  71.62  0.60  6.31  1.67  0  0  0  0 
