Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  15:57:54 2.19  0.15  63.88  1.85  8.95 -2.65  0  0  0  0 
23-Nov-2007  15:57:55 0.50  0.13  71.82  1.11  10.90 -4.61  0  0  0  0 
23-Nov-2007  15:58:01 2.26  0.09  72.18  0.74  7.80 -3.05  0  1  0  0 
23-Nov-2007  15:58:02 0.54  0.11  72.90  1.37  9.13 -3.74  0  0  0  0 
23-Nov-2007  15:58:07 1.38  0.13  71.76  1.57  9.26 -3.84  0  0  0  0 
23-Nov-2007  15:58:10 1.54  0.13  67.64  0.53  10.52  2.53  0  0  0  0 
23-Nov-2007  15:58:12 0.68  0.09  70.29  0.53  11.43 -4.53  0  0  0  0 
23-Nov-2007  15:58:27 1.75  0.13  70.82  2.31  9.15 -3.65  0  0  0  0 
23-Nov-2007  15:58:29 1.41  0.14  70.81  2.45  7.86 -3.13  0  0  0  0 
23-Nov-2007  15:58:31 0.63  0.15  72.47  1.62  19.38 -9.78  0  0  0  0 
23-Nov-2007  15:58:33 0.94  0.10  71.49  0.28  9.16  2.51  0  0  0  0 
23-Nov-2007  15:58:40 1.23  0.14  70.35  0.57  9.70 -3.67  0  0  0  0 
23-Nov-2007  15:59:02 0.49  0.07  73.02  1.83  7.83 -3.10  0  0  0  0 
23-Nov-2007  15:59:09 0.60  0.05  71.29  0.65  9.59 -3.79  0  0  0  0 
23-Nov-2007  15:59:09 3.53  0.27  66.86  2.23  9.74 -3.09  0  0  0  0 
23-Nov-2007  15:59:10 1.29  0.21  70.08  1.56  7.84 -2.67  0  0  0  0 
23-Nov-2007  15:59:21 0.91  0.08  72.50  2.04  8.74 -3.75  0  0  0  0 
23-Nov-2007  15:59:39 1.44  0.20  67.44  2.86  8.55 -2.67  0  0  0  0 
23-Nov-2007  15:59:49 1.44  0.07  72.83  1.24  12.22 -6.07  0  1  0  0 
23-Nov-2007  15:59:51 1.14  0.07  64.99 -0.04  13.19  3.15  0  0  0  0 
23-Nov-2007  15:59:58 1.17  0.19  70.48  2.31  7.38 -2.36  0  0  0  0 
23-Nov-2007  16:00:05 0.50  0.14  66.32  0.72  11.27 -3.68  0  0  0  0 
23-Nov-2007  16:00:07 1.08  0.17  68.42  0.58  12.06 -4.63  0  0  0  0 
23-Nov-2007  16:00:11 1.38  0.18  71.09  1.74  10.35 -4.51  0  1  1  1 
23-Nov-2007  16:00:24 9.63  0.17  73.60  0.89  8.37 -3.81  1  0  0  1 
